date,time,chan 1,unit 1,chan 2,unit 2
11/7/17,12:36:05 PM,0.177,mS,0,NO UNIT
11/7/17,12:36:06 PM,0.177,mS,19.6,degree C
11/7/17,12:36:07 PM,0.177,mS,19.6,degree C
11/7/17,12:36:08 PM,0.178,mS,19.6,degree C
11/7/17,12:36:09 PM,0.178,mS,19.7,degree C
11/7/17,12:36:10 PM,0.178,mS,19.7,degree C
11/7/17,12:36:11 PM,0.178,mS,19.6,degree C
11/7/17,12:36:12 PM,0.178,mS,19.6,degree C
11/7/17,12:36:13 PM,0.179,mS,19.6,degree C
11/7/17,12:36:14 PM,0.179,mS,19.7,degree C
11/7/17,12:36:15 PM,0.179,mS,19.7,degree C
11/7/17,12:36:16 PM,0.179,mS,19.6,degree C
11/7/17,12:36:17 PM,0.179,mS,19.6,degree C
11/7/17,12:36:18 PM,0.179,mS,19.6,degree C
11/7/17,12:36:19 PM,0.179,mS,19.6,degree C
11/7/17,12:36:20 PM,0.179,mS,19.6,degree C
11/7/17,12:36:21 PM,0.179,mS,19.7,degree C
11/7/17,12:36:22 PM,0.179,mS,19.7,degree C
11/7/17,12:36:23 PM,0.178,mS,19.7,degree C
11/7/17,12:36:24 PM,0.178,mS,19.7,degree C
11/7/17,12:36:26 PM,0.18,mS,19.6,degree C
11/7/17,12:36:27 PM,0.18,mS,19.6,degree C
11/7/17,12:36:28 PM,0.18,mS,19.6,degree C
11/7/17,12:36:28 PM,0.18,mS,19.7,degree C
11/7/17,12:36:29 PM,0.18,mS,19.7,degree C
11/7/17,12:36:30 PM,0.18,mS,19.7,degree C
11/7/17,12:36:31 PM,0.18,mS,19.7,degree C
11/7/17,12:36:32 PM,0.18,mS,19.7,degree C
11/7/17,12:36:33 PM,0.18,mS,19.7,degree C
11/7/17,12:36:34 PM,0.18,mS,19.7,degree C
11/7/17,12:36:35 PM,0.18,mS,19.7,degree C
11/7/17,12:36:36 PM,0.18,mS,19.7,degree C
11/7/17,12:36:37 PM,0.18,mS,19.7,degree C
11/7/17,12:36:38 PM,0.209,mS,19.7,degree C
11/7/17,12:36:39 PM,0.209,mS,19.7,degree C
11/7/17,12:36:40 PM,0.209,mS,19.7,degree C
11/7/17,12:36:41 PM,0.406,mS,19.7,degree C
11/7/17,12:36:42 PM,0.406,mS,19.7,degree C
11/7/17,12:36:43 PM,0.406,mS,19.7,degree C
11/7/17,12:36:44 PM,0.552,mS,19.7,degree C
11/7/17,12:36:45 PM,0.552,mS,19.6,degree C
11/7/17,12:36:46 PM,0.651,mS,19.6,degree C
11/7/17,12:36:47 PM,0.651,mS,19.6,degree C
11/7/17,12:36:48 PM,0.651,mS,19.7,degree C
11/7/17,12:36:49 PM,0.75,mS,19.7,degree C
11/7/17,12:36:50 PM,0.75,mS,19.6,degree C
11/7/17,12:36:51 PM,0.75,mS,19.6,degree C
11/7/17,12:36:52 PM,0.805,mS,19.6,degree C
11/7/17,12:36:53 PM,0.805,mS,19.6,degree C
11/7/17,12:36:54 PM,0.805,mS,19.6,degree C
11/7/17,12:36:55 PM,0.839,mS,19.6,degree C
11/7/17,12:36:56 PM,0.839,mS,19.6,degree C
11/7/17,12:36:57 PM,0.874,mS,19.6,degree C
11/7/17,12:36:58 PM,0.874,mS,19.6,degree C
11/7/17,12:36:59 PM,0.874,mS,19.6,degree C
11/7/17,12:37:00 PM,0.859,mS,19.6,degree C
11/7/17,12:37:01 PM,0.859,mS,19.6,degree C
11/7/17,12:37:02 PM,0.882,mS,19.6,degree C
11/7/17,12:37:03 PM,0.882,mS,19.6,degree C
11/7/17,12:37:04 PM,0.882,mS,19.6,degree C
11/7/17,12:37:05 PM,0.897,mS,19.6,degree C
11/7/17,12:37:06 PM,0.897,mS,19.6,degree C
11/7/17,12:37:07 PM,0.907,mS,19.6,degree C
11/7/17,12:37:08 PM,0.907,mS,19.6,degree C
11/7/17,12:37:09 PM,0.907,mS,19.6,degree C
11/7/17,12:37:10 PM,0.924,mS,19.6,degree C
11/7/17,12:37:11 PM,0.924,mS,19.6,degree C
11/7/17,12:37:12 PM,0.938,mS,19.6,degree C
11/7/17,12:37:13 PM,0.938,mS,19.6,degree C
11/7/17,12:37:14 PM,0.938,mS,19.6,degree C
11/7/17,12:37:15 PM,0.941,mS,19.6,degree C
11/7/17,12:37:16 PM,0.941,mS,19.6,degree C
11/7/17,12:37:17 PM,0.949,mS,19.6,degree C
11/7/17,12:37:18 PM,0.949,mS,19.6,degree C
11/7/17,12:37:19 PM,0.949,mS,19.6,degree C
11/7/17,12:37:20 PM,0.952,mS,19.6,degree C
11/7/17,12:37:21 PM,0.952,mS,19.6,degree C
11/7/17,12:37:22 PM,0.955,mS,19.6,degree C
11/7/17,12:37:23 PM,0.955,mS,19.6,degree C
